,ê-Cnj,kâ-Cnj,Other-Conjuncts
(Intercept),1.5250675,-1.76682330,-4.647801063
actor.3TRUE,-,-0.28100056,0.552049099
actor.2TRUE,-1.1181899,-,2.738797263
Dem.actorTRUE,-1.1951431,1.11633256,-
goal.3TRUE,-0.9685382,-,2.391314800
Prox.goalTRUE,-0.8530489,0.53201868,1.138516174
PV.PositionTRUE,-1.7989489,-3.35855373,4.953536539
PV.TimeTRUE,-4.0751667,-1.86006550,6.441288567
PV.WantCanTRUE,-1.9936853,0.66253404,-
Sg.actorTRUE,-0.8597733,0.90099706,-
Sg.goalTRUE,-,0.56253290,-
TI.speechTRUE,-1.1174820,0.98127799,-
